Kombinovaná,Rok uvedení do provozu,Karoserie,Palivo,Motor,Výkon
5.7 l/100km,2017,SUV,Diesel,I4,140kW
7.7 l/100km,2006,SUV,Diesel,I4,95kW
17.7 l/100km,2006,Sedan,Benzín,V8,412kW
8.6 l/100km,2010,Coupe,Benzín,V6,215kW
7.3 l/100km,2020,Combi,Benzín,I4,110kW
6.5 l/100km,2018,SUV,Diesel,I4,136kW
5.7 l/100km,2017,SUV,Diesel,I4,140kW
7.1 l/100km,2021,Bus,Diesel,I4,106kW
5.5 l/100km,2019,SUV,Diesel,I4,110kW
4.5 l/100km,2015,Sedan,Diesel,I4,110kW
5.5 l/100km,2019,Combi,Diesel,I4,110kW
4.5 l/100km,2016,Sedan,Diesel,I4,140kW
5 l/100km,2015,Combi,Diesel,I4,135kW
4.6 l/100km,2018,Sedan,Diesel,I4,110kW
5.5 l/100km,2019,SUV,Diesel,I4,110kW
6 l/100km,2023,Combi,Benzín,I4,110kW
8.2 l/100km,2012,SUV,Diesel,I4,100kW
5.1 l/100km,2005,Hatchback,Diesel,I4,96kW
4.6 l/100km,2016,SUV,Diesel,I4,85kW
6.1 l/100km,2015,Rodinné vozy,Diesel,I4,96kW
5.7 l/100km,2016,SUV,Diesel,I5,173kW
4.5 l/100km,2015,Sedan,Diesel,I4,110kW
4.5 l/100km,2018,Combi,Diesel,I4,110kW
3.7 l/100km,2020,Combi,Diesel,I4,110kW
6 l/100km,2023,Combi,Benzín,I4,110kW
7.3 l/100km,2020,Combi,Benzín,I4,110kW
6 l/100km,2017,Bus,Diesel,I4,96kW
6.5 l/100km,2018,SUV,Diesel,I4,136kW
4.2 l/100km,2016,Combi,Diesel,I4,110kW
3.7 l/100km,2020,Combi,Diesel,I4,110kW
5.7 l/100km,2018,SUV,Diesel,I4,110kW
5.7 l/100km,2018,SUV,Diesel,I4,110kW
4.6 l/100km,2014,Combi,Diesel,I4,135kW
4.5 l/100km,2018,Combi,Diesel,I4,110kW
5.1 l/100km,2017,Combi,Diesel,I4,135kW
5.1 l/100km,2005,Hatchback,Diesel,I4,96kW
5.7 l/100km,2016,SUV,Diesel,I5,173kW
4.5 l/100km,2016,Sedan,Diesel,I4,140kW
5.1 l/100km,2017,Combi,Diesel,I4,135kW
7.7 l/100km,2006,SUV,Diesel,I4,95kW
8.6 l/100km,2010,Coupe,Benzín,V6,215kW
8.2 l/100km,2012,SUV,Diesel,I4,100kW
4.2 l/100km,2016,Combi,Diesel,I4,110kW
5.5 l/100km,2019,Combi,Diesel,I4,110kW
4.6 l/100km,2014,Combi,Diesel,I4,135kW
6.1 l/100km,2015,Rodinné vozy,Diesel,I4,96kW
4.6 l/100km,2016,SUV,Diesel,I4,85kW
5 l/100km,2015,Combi,Diesel,I4,135kW
5.7 l/100km,2017,SUV,Diesel,I4,140kW
7.7 l/100km,2006,SUV,Diesel,I4,95kW
17.7 l/100km,2006,Sedan,Benzín,V8,412kW
8.6 l/100km,2010,Coupe,Benzín,V6,215kW
7.3 l/100km,2020,Combi,Benzín,I4,110kW
6.5 l/100km,2018,SUV,Diesel,I4,136kW
5.7 l/100km,2017,SUV,Diesel,I4,140kW
7.1 l/100km,2021,Bus,Diesel,I4,106kW
5.5 l/100km,2019,SUV,Diesel,I4,110kW
4.5 l/100km,2015,Sedan,Diesel,I4,110kW
5.5 l/100km,2019,Combi,Diesel,I4,110kW
4.5 l/100km,2016,Sedan,Diesel,I4,140kW
5 l/100km,2015,Combi,Diesel,I4,135kW
4.6 l/100km,2018,Sedan,Diesel,I4,110kW
5.5 l/100km,2019,SUV,Diesel,I4,110kW
6 l/100km,2023,Combi,Benzín,I4,110kW
8.2 l/100km,2012,SUV,Diesel,I4,100kW
5.1 l/100km,2005,Hatchback,Diesel,I4,96kW
4.6 l/100km,2016,SUV,Diesel,I4,85kW
6.1 l/100km,2015,Rodinné vozy,Diesel,I4,96kW
5.7 l/100km,2016,SUV,Diesel,I5,173kW
4.5 l/100km,2015,Sedan,Diesel,I4,110kW
4.5 l/100km,2018,Combi,Diesel,I4,110kW
3.7 l/100km,2020,Combi,Diesel,I4,110kW
6 l/100km,2023,Combi,Benzín,I4,110kW
7.3 l/100km,2020,Combi,Benzín,I4,110kW
6 l/100km,2017,Bus,Diesel,I4,96kW
6.5 l/100km,2018,SUV,Diesel,I4,136kW
4.2 l/100km,2016,Combi,Diesel,I4,110kW
3.7 l/100km,2020,Combi,Diesel,I4,110kW
5.7 l/100km,2018,SUV,Diesel,I4,110kW
5.7 l/100km,2018,SUV,Diesel,I4,110kW
4.6 l/100km,2014,Combi,Diesel,I4,135kW
4.5 l/100km,2018,Combi,Diesel,I4,110kW
5.1 l/100km,2017,Combi,Diesel,I4,135kW
5.1 l/100km,2005,Hatchback,Diesel,I4,96kW
5.7 l/100km,2016,SUV,Diesel,I5,173kW
4.5 l/100km,2016,Sedan,Diesel,I4,140kW
5.1 l/100km,2017,Combi,Diesel,I4,135kW
7.7 l/100km,2006,SUV,Diesel,I4,95kW
8.6 l/100km,2010,Coupe,Benzín,V6,215kW
8.2 l/100km,2012,SUV,Diesel,I4,100kW
4.2 l/100km,2016,Combi,Diesel,I4,110kW
5.5 l/100km,2019,Combi,Diesel,I4,110kW
4.6 l/100km,2014,Combi,Diesel,I4,135kW
6.1 l/100km,2015,Rodinné vozy,Diesel,I4,96kW
4.6 l/100km,2016,SUV,Diesel,I4,85kW
5 l/100km,2015,Combi,Diesel,I4,135kW
5.7 l/100km,2017,SUV,Diesel,I4,140kW
7.7 l/100km,2006,SUV,Diesel,I4,95kW
17.7 l/100km,2006,Sedan,Benzín,V8,412kW
8.6 l/100km,2010,Coupe,Benzín,V6,215kW
7.3 l/100km,2020,Combi,Benzín,I4,110kW
6.5 l/100km,2018,SUV,Diesel,I4,136kW
5.7 l/100km,2017,SUV,Diesel,I4,140kW
7.1 l/100km,2021,Bus,Diesel,I4,106kW
5.5 l/100km,2019,SUV,Diesel,I4,110kW
4.5 l/100km,2015,Sedan,Diesel,I4,110kW
5.5 l/100km,2019,Combi,Diesel,I4,110kW
4.5 l/100km,2016,Sedan,Diesel,I4,140kW
5 l/100km,2015,Combi,Diesel,I4,135kW
4.6 l/100km,2018,Sedan,Diesel,I4,110kW
5.5 l/100km,2019,SUV,Diesel,I4,110kW
6 l/100km,2023,Combi,Benzín,I4,110kW
8.2 l/100km,2012,SUV,Diesel,I4,100kW
5.1 l/100km,2005,Hatchback,Diesel,I4,96kW
4.6 l/100km,2016,SUV,Diesel,I4,85kW
6.1 l/100km,2015,Rodinné vozy,Diesel,I4,96kW
5.7 l/100km,2016,SUV,Diesel,I5,173kW
4.5 l/100km,2015,Sedan,Diesel,I4,110kW
4.5 l/100km,2018,Combi,Diesel,I4,110kW
3.7 l/100km,2020,Combi,Diesel,I4,110kW
6 l/100km,2023,Combi,Benzín,I4,110kW
7.3 l/100km,2020,Combi,Benzín,I4,110kW
6 l/100km,2017,Bus,Diesel,I4,96kW
6.5 l/100km,2018,SUV,Diesel,I4,136kW
4.2 l/100km,2016,Combi,Diesel,I4,110kW
3.7 l/100km,2020,Combi,Diesel,I4,110kW
5.7 l/100km,2018,SUV,Diesel,I4,110kW
5.7 l/100km,2018,SUV,Diesel,I4,110kW
4.6 l/100km,2014,Combi,Diesel,I4,135kW
4.5 l/100km,2018,Combi,Diesel,I4,110kW
5.1 l/100km,2017,Combi,Diesel,I4,135kW
5.1 l/100km,2005,Hatchback,Diesel,I4,96kW
5.7 l/100km,2016,SUV,Diesel,I5,173kW
4.5 l/100km,2016,Sedan,Diesel,I4,140kW
5.9 l/100km,2014,Sedan,Diesel,I6,180kW
5.5 l/100km,2012,SUV,Diesel,zaod,110kW
5 l/100km,2015,Combi,Diesel,I4,135kW
5.7 l/100km,2016,SUV,Diesel,I5,173kW
6.5 l/100km,2018,SUV,Diesel,I4,136kW
5.7 l/100km,2018,SUV,Diesel,I4,140kW
7.7 l/100km,2006,SUV,Diesel,I4,95kW
5.7 l/100km,2018,SUV,Diesel,I4,110kW
8.2 l/100km,2012,SUV,Diesel,I4,100kW
4.6 l/100km,2016,SUV,Diesel,I4,85kW
6.5 l/100km,2017,SUV,Diesel,I4,136kW
5.5 l/100km,2019,SUV,Diesel,I4,110kW
4.6 l/100km,2016,SUV,Diesel,I4,85kW
5 l/100km,2016,Combi,Diesel,I4,135kW
5.5 l/100km,2019,SUV,Diesel,I4,110kW
5.3 l/100km,2015,Combi,Diesel,I6,200kW
4.5 l/100km,2015,Sedan,Diesel,I4,110kW
7.1 l/100km,2017,Sedan,Benzín,I4,206kW
6.4 l/100km,2010,Sedan,Diesel,I4,125kW
7.7 l/100km,2006,SUV,Diesel,I4,95kW
5 l/100km,2015,Combi,Diesel,I4,135kW
5.1 l/100km,2017,Combi,Diesel,I4,135kW
5.7 l/100km,2016,SUV,Diesel,I5,173kW
5 l/100km,2019,SUV,Diesel,I4,110kW
5 l/100km,2015,Combi,Diesel,I4,135kW
5.7 l/100km,2018,SUV,Diesel,I4,110kW
5.9 l/100km,2019,SUV,Diesel,I4,136kW
5.7 l/100km,2017,SUV,Diesel,I4,140kW
4.6 l/100km,2017,SUV,Diesel,I4,85kW
6.5 l/100km,2018,SUV,Diesel,I4,136kW
5.7 l/100km,2017,SUV,Diesel,I4,140kW
5.1 l/100km,2017,Combi,Diesel,I4,135kW
5.4 l/100km,2022,SUV,Diesel,I4,110kW
5.4 l/100km,2022,SUV,Diesel,I4,110kW
6.1 l/100km,2022,SUV,Benzín,I4,96kW
6.9 l/100km,2018,SUV,Diesel,I6,190kW
8.2 l/100km,2012,SUV,Diesel,I4,100kW
4.8 l/100km,2020,SUV,Diesel,I4,85kW
17.7 l/100km,2006,Sedan,Benzín,V8,412kW
4.5 l/100km,2015,Sedan,Diesel,I4,110kW
5.9 l/100km,2014,Sedan,Diesel,I6,180kW
5.5 l/100km,2012,SUV,Diesel,zaod,110kW
5 l/100km,2015,Combi,Diesel,I4,135kW
5.7 l/100km,2016,SUV,Diesel,I5,173kW
6.5 l/100km,2018,SUV,Diesel,I4,136kW
5.7 l/100km,2018,SUV,Diesel,I4,140kW
7.7 l/100km,2006,SUV,Diesel,I4,95kW
5.7 l/100km,2018,SUV,Diesel,I4,110kW
8.2 l/100km,2012,SUV,Diesel,I4,100kW
4.6 l/100km,2016,SUV,Diesel,I4,85kW
6.5 l/100km,2017,SUV,Diesel,I4,136kW
5.5 l/100km,2019,SUV,Diesel,I4,110kW
4.6 l/100km,2016,SUV,Diesel,I4,85kW
5 l/100km,2016,Combi,Diesel,I4,135kW
5.5 l/100km,2019,SUV,Diesel,I4,110kW
5.3 l/100km,2015,Combi,Diesel,I6,200kW
4.5 l/100km,2015,Sedan,Diesel,I4,110kW
7.1 l/100km,2017,Sedan,Benzín,I4,206kW
6.4 l/100km,2010,Sedan,Diesel,I4,125kW
7.7 l/100km,2006,SUV,Diesel,I4,95kW
5 l/100km,2015,Combi,Diesel,I4,135kW
5.1 l/100km,2017,Combi,Diesel,I4,135kW
5.7 l/100km,2016,SUV,Diesel,I5,173kW
5 l/100km,2019,SUV,Diesel,I4,110kW
5 l/100km,2015,Combi,Diesel,I4,135kW
5.7 l/100km,2018,SUV,Diesel,I4,110kW
5.9 l/100km,2019,SUV,Diesel,I4,136kW
5.7 l/100km,2017,SUV,Diesel,I4,140kW
4.6 l/100km,2017,SUV,Diesel,I4,85kW
6.5 l/100km,2018,SUV,Diesel,I4,136kW
5.7 l/100km,2017,SUV,Diesel,I4,140kW
5.1 l/100km,2017,Combi,Diesel,I4,135kW
5.4 l/100km,2022,SUV,Diesel,I4,110kW
5.4 l/100km,2022,SUV,Diesel,I4,110kW
6.1 l/100km,2022,SUV,Benzín,I4,96kW
6.9 l/100km,2018,SUV,Diesel,I6,190kW
8.2 l/100km,2012,SUV,Diesel,I4,100kW
4.8 l/100km,2020,SUV,Diesel,I4,85kW
17.7 l/100km,2006,Sedan,Benzín,V8,412kW
4.5 l/100km,2015,Sedan,Diesel,I4,110kW
5.9 l/100km,2014,Sedan,Diesel,I6,180kW
5.5 l/100km,2012,SUV,Diesel,zaod,110kW
5 l/100km,2015,Combi,Diesel,I4,135kW
5.7 l/100km,2016,SUV,Diesel,I5,173kW
6.5 l/100km,2018,SUV,Diesel,I4,136kW
5.7 l/100km,2018,SUV,Diesel,I4,140kW
7.7 l/100km,2006,SUV,Diesel,I4,95kW
5.7 l/100km,2018,SUV,Diesel,I4,110kW
8.2 l/100km,2012,SUV,Diesel,I4,100kW
4.6 l/100km,2016,SUV,Diesel,I4,85kW
6.5 l/100km,2017,SUV,Diesel,I4,136kW
5.5 l/100km,2019,SUV,Diesel,I4,110kW
4.6 l/100km,2016,SUV,Diesel,I4,85kW
5 l/100km,2016,Combi,Diesel,I4,135kW
5.5 l/100km,2019,SUV,Diesel,I4,110kW
5.3 l/100km,2015,Combi,Diesel,I6,200kW
4.5 l/100km,2015,Sedan,Diesel,I4,110kW
7.1 l/100km,2017,Sedan,Benzín,I4,206kW
6.4 l/100km,2010,Sedan,Diesel,I4,125kW
7.7 l/100km,2006,SUV,Diesel,I4,95kW
5 l/100km,2015,Combi,Diesel,I4,135kW
5.1 l/100km,2017,Combi,Diesel,I4,135kW
5.7 l/100km,2016,SUV,Diesel,I5,173kW
5 l/100km,2019,SUV,Diesel,I4,110kW
5 l/100km,2015,Combi,Diesel,I4,135kW
5.7 l/100km,2018,SUV,Diesel,I4,110kW
5.9 l/100km,2019,SUV,Diesel,I4,136kW
5.7 l/100km,2017,SUV,Diesel,I4,140kW
4.6 l/100km,2017,SUV,Diesel,I4,85kW
6.5 l/100km,2018,SUV,Diesel,I4,136kW
5.7 l/100km,2017,SUV,Diesel,I4,140kW
5.1 l/100km,2017,Combi,Diesel,I4,135kW
5.4 l/100km,2022,SUV,Diesel,I4,110kW
5.4 l/100km,2022,SUV,Diesel,I4,110kW
6.1 l/100km,2022,SUV,Benzín,I4,96kW
6.9 l/100km,2018,SUV,Diesel,I6,190kW
8.2 l/100km,2012,SUV,Diesel,I4,100kW
4.8 l/100km,2020,SUV,Diesel,I4,85kW
17.7 l/100km,2006,Sedan,Benzín,V8,412kW
4.5 l/100km,2015,Sedan,Diesel,I4,110kW
5.9 l/100km,2014,Sedan,Diesel,I6,180kW
5.5 l/100km,2012,SUV,Diesel,zaod,110kW
5 l/100km,2015,Combi,Diesel,I4,135kW
5.7 l/100km,2016,SUV,Diesel,I5,173kW
6.5 l/100km,2018,SUV,Diesel,I4,136kW
5.7 l/100km,2018,SUV,Diesel,I4,140kW
7.7 l/100km,2006,SUV,Diesel,I4,95kW
5.7 l/100km,2018,SUV,Diesel,I4,110kW
8.2 l/100km,2012,SUV,Diesel,I4,100kW
4.6 l/100km,2016,SUV,Diesel,I4,85kW
6.5 l/100km,2017,SUV,Diesel,I4,136kW
5.5 l/100km,2019,SUV,Diesel,I4,110kW
4.6 l/100km,2016,SUV,Diesel,I4,85kW
5 l/100km,2016,Combi,Diesel,I4,135kW
5.5 l/100km,2019,SUV,Diesel,I4,110kW
5.3 l/100km,2015,Combi,Diesel,I6,200kW
4.5 l/100km,2015,Sedan,Diesel,I4,110kW
7.1 l/100km,2017,Sedan,Benzín,I4,206kW
6.4 l/100km,2010,Sedan,Diesel,I4,125kW
7.7 l/100km,2006,SUV,Diesel,I4,95kW
5 l/100km,2015,Combi,Diesel,I4,135kW
5.1 l/100km,2017,Combi,Diesel,I4,135kW
5.7 l/100km,2016,SUV,Diesel,I5,173kW
5 l/100km,2019,SUV,Diesel,I4,110kW
5 l/100km,2015,Combi,Diesel,I4,135kW
5.7 l/100km,2018,SUV,Diesel,I4,110kW
5.9 l/100km,2019,SUV,Diesel,I4,136kW
5.7 l/100km,2017,SUV,Diesel,I4,140kW
4.6 l/100km,2017,SUV,Diesel,I4,85kW
6.5 l/100km,2018,SUV,Diesel,I4,136kW
5.7 l/100km,2017,SUV,Diesel,I4,140kW
5.1 l/100km,2017,Combi,Diesel,I4,135kW
5.4 l/100km,2022,SUV,Diesel,I4,110kW
5.4 l/100km,2022,SUV,Diesel,I4,110kW
6.1 l/100km,2022,SUV,Benzín,I4,96kW
6.9 l/100km,2018,SUV,Diesel,I6,190kW
8.2 l/100km,2012,SUV,Diesel,I4,100kW
4.8 l/100km,2020,SUV,Diesel,I4,85kW
17.7 l/100km,2006,Sedan,Benzín,V8,412kW
4.5 l/100km,2015,Sedan,Diesel,I4,110kW
5.9 l/100km,2014,Sedan,Diesel,I6,180kW
5.5 l/100km,2012,SUV,Diesel,zaod,110kW
5 l/100km,2015,Combi,Diesel,I4,135kW
5.7 l/100km,2016,SUV,Diesel,I5,173kW
6.5 l/100km,2018,SUV,Diesel,I4,136kW
5.7 l/100km,2018,SUV,Diesel,I4,140kW
7.7 l/100km,2006,SUV,Diesel,I4,95kW
5.7 l/100km,2018,SUV,Diesel,I4,110kW
8.2 l/100km,2012,SUV,Diesel,I4,100kW
4.6 l/100km,2016,SUV,Diesel,I4,85kW
6.5 l/100km,2017,SUV,Diesel,I4,136kW
5.5 l/100km,2019,SUV,Diesel,I4,110kW
4.6 l/100km,2016,SUV,Diesel,I4,85kW
5 l/100km,2016,Combi,Diesel,I4,135kW
5.5 l/100km,2019,SUV,Diesel,I4,110kW
5.3 l/100km,2015,Combi,Diesel,I6,200kW
4.5 l/100km,2015,Sedan,Diesel,I4,110kW
7.1 l/100km,2017,Sedan,Benzín,I4,206kW
6.4 l/100km,2010,Sedan,Diesel,I4,125kW
7.7 l/100km,2006,SUV,Diesel,I4,95kW
5 l/100km,2015,Combi,Diesel,I4,135kW
5.1 l/100km,2017,Combi,Diesel,I4,135kW
5.7 l/100km,2016,SUV,Diesel,I5,173kW
5 l/100km,2019,SUV,Diesel,I4,110kW
5 l/100km,2015,Combi,Diesel,I4,135kW
5.7 l/100km,2018,SUV,Diesel,I4,110kW
5.9 l/100km,2019,SUV,Diesel,I4,136kW
5.7 l/100km,2017,SUV,Diesel,I4,140kW
4.6 l/100km,2017,SUV,Diesel,I4,85kW
6.5 l/100km,2018,SUV,Diesel,I4,136kW
5.7 l/100km,2017,SUV,Diesel,I4,140kW
5.1 l/100km,2017,Combi,Diesel,I4,135kW
5.4 l/100km,2022,SUV,Diesel,I4,110kW
5.4 l/100km,2022,SUV,Diesel,I4,110kW
6.1 l/100km,2022,SUV,Benzín,I4,96kW
6.9 l/100km,2018,SUV,Diesel,I6,190kW
8.2 l/100km,2012,SUV,Diesel,I4,100kW
4.8 l/100km,2020,SUV,Diesel,I4,85kW
17.7 l/100km,2006,Sedan,Benzín,V8,412kW
4.5 l/100km,2015,Sedan,Diesel,I4,110kW
5.9 l/100km,2014,Sedan,Diesel,I6,180kW
5.5 l/100km,2012,SUV,Diesel,zaod,110kW
5 l/100km,2015,Combi,Diesel,I4,135kW
5.7 l/100km,2016,SUV,Diesel,I5,173kW
6.5 l/100km,2018,SUV,Diesel,I4,136kW
5.7 l/100km,2018,SUV,Diesel,I4,140kW
7.7 l/100km,2006,SUV,Diesel,I4,95kW
5.7 l/100km,2018,SUV,Diesel,I4,110kW
8.2 l/100km,2012,SUV,Diesel,I4,100kW
4.6 l/100km,2016,SUV,Diesel,I4,85kW
6.5 l/100km,2017,SUV,Diesel,I4,136kW
5.5 l/100km,2019,SUV,Diesel,I4,110kW
4.6 l/100km,2016,SUV,Diesel,I4,85kW
5 l/100km,2016,Combi,Diesel,I4,135kW
5.5 l/100km,2019,SUV,Diesel,I4,110kW
5.3 l/100km,2015,Combi,Diesel,I6,200kW
4.5 l/100km,2015,Sedan,Diesel,I4,110kW
7.1 l/100km,2017,Sedan,Benzín,I4,206kW
6.4 l/100km,2010,Sedan,Diesel,I4,125kW
7.7 l/100km,2006,SUV,Diesel,I4,95kW
5 l/100km,2015,Combi,Diesel,I4,135kW
5.1 l/100km,2017,Combi,Diesel,I4,135kW
5.7 l/100km,2016,SUV,Diesel,I5,173kW
5 l/100km,2019,SUV,Diesel,I4,110kW
5 l/100km,2015,Combi,Diesel,I4,135kW
5.7 l/100km,2018,SUV,Diesel,I4,110kW
5.9 l/100km,2019,SUV,Diesel,I4,136kW
5.7 l/100km,2017,SUV,Diesel,I4,140kW
4.6 l/100km,2017,SUV,Diesel,I4,85kW
6.5 l/100km,2018,SUV,Diesel,I4,136kW
5.7 l/100km,2017,SUV,Diesel,I4,140kW
5.1 l/100km,2017,Combi,Diesel,I4,135kW
5.4 l/100km,2022,SUV,Diesel,I4,110kW
5.4 l/100km,2022,SUV,Diesel,I4,110kW
6.1 l/100km,2022,SUV,Benzín,I4,96kW
6.9 l/100km,2018,SUV,Diesel,I6,190kW
8.2 l/100km,2012,SUV,Diesel,I4,100kW
4.8 l/100km,2020,SUV,Diesel,I4,85kW
17.7 l/100km,2006,Sedan,Benzín,V8,412kW
4.5 l/100km,2015,Sedan,Diesel,I4,110kW
5.9 l/100km,2014,Sedan,Diesel,I6,180kW
5.5 l/100km,2012,SUV,Diesel,zaod,110kW
5 l/100km,2015,Combi,Diesel,I4,135kW
5.7 l/100km,2016,SUV,Diesel,I5,173kW
6.5 l/100km,2018,SUV,Diesel,I4,136kW
5.7 l/100km,2018,SUV,Diesel,I4,140kW
7.7 l/100km,2006,SUV,Diesel,I4,95kW
5.7 l/100km,2018,SUV,Diesel,I4,110kW
8.2 l/100km,2012,SUV,Diesel,I4,100kW
4.6 l/100km,2016,SUV,Diesel,I4,85kW
6.5 l/100km,2017,SUV,Diesel,I4,136kW
5.5 l/100km,2019,SUV,Diesel,I4,110kW
4.6 l/100km,2016,SUV,Diesel,I4,85kW
5 l/100km,2016,Combi,Diesel,I4,135kW
5.5 l/100km,2019,SUV,Diesel,I4,110kW
5.3 l/100km,2015,Combi,Diesel,I6,200kW
4.5 l/100km,2015,Sedan,Diesel,I4,110kW
7.1 l/100km,2017,Sedan,Benzín,I4,206kW
6.4 l/100km,2010,Sedan,Diesel,I4,125kW
7.7 l/100km,2006,SUV,Diesel,I4,95kW
5 l/100km,2015,Combi,Diesel,I4,135kW
5.1 l/100km,2017,Combi,Diesel,I4,135kW
5.7 l/100km,2016,SUV,Diesel,I5,173kW
5 l/100km,2019,SUV,Diesel,I4,110kW
5 l/100km,2015,Combi,Diesel,I4,135kW
5.7 l/100km,2018,SUV,Diesel,I4,110kW
5.9 l/100km,2019,SUV,Diesel,I4,136kW
5.7 l/100km,2017,SUV,Diesel,I4,140kW
4.6 l/100km,2017,SUV,Diesel,I4,85kW
6.5 l/100km,2018,SUV,Diesel,I4,136kW
5.7 l/100km,2017,SUV,Diesel,I4,140kW
5.1 l/100km,2017,Combi,Diesel,I4,135kW
5.4 l/100km,2022,SUV,Diesel,I4,110kW
5.4 l/100km,2022,SUV,Diesel,I4,110kW
6.1 l/100km,2022,SUV,Benzín,I4,96kW
6.9 l/100km,2018,SUV,Diesel,I6,190kW
8.2 l/100km,2012,SUV,Diesel,I4,100kW
4.8 l/100km,2020,SUV,Diesel,I4,85kW
17.7 l/100km,2006,Sedan,Benzín,V8,412kW
4.5 l/100km,2015,Sedan,Diesel,I4,110kW
5.9 l/100km,2014,Sedan,Diesel,I6,180kW
5.5 l/100km,2012,SUV,Diesel,zaod,110kW
5 l/100km,2015,Combi,Diesel,I4,135kW
5.7 l/100km,2016,SUV,Diesel,I5,173kW
6.5 l/100km,2018,SUV,Diesel,I4,136kW
5.7 l/100km,2018,SUV,Diesel,I4,140kW
7.7 l/100km,2006,SUV,Diesel,I4,95kW
5.7 l/100km,2018,SUV,Diesel,I4,110kW
8.2 l/100km,2012,SUV,Diesel,I4,100kW
4.6 l/100km,2016,SUV,Diesel,I4,85kW
6.5 l/100km,2017,SUV,Diesel,I4,136kW
5.5 l/100km,2019,SUV,Diesel,I4,110kW
4.6 l/100km,2016,SUV,Diesel,I4,85kW
5 l/100km,2016,Combi,Diesel,I4,135kW
5.5 l/100km,2019,SUV,Diesel,I4,110kW
5.3 l/100km,2015,Combi,Diesel,I6,200kW
4.5 l/100km,2015,Sedan,Diesel,I4,110kW
7.1 l/100km,2017,Sedan,Benzín,I4,206kW
6.4 l/100km,2010,Sedan,Diesel,I4,125kW
7.7 l/100km,2006,SUV,Diesel,I4,95kW
5 l/100km,2015,Combi,Diesel,I4,135kW
5.1 l/100km,2017,Combi,Diesel,I4,135kW
5.7 l/100km,2016,SUV,Diesel,I5,173kW
5 l/100km,2019,SUV,Diesel,I4,110kW
5 l/100km,2015,Combi,Diesel,I4,135kW
5.7 l/100km,2018,SUV,Diesel,I4,110kW
5.9 l/100km,2019,SUV,Diesel,I4,136kW
5.7 l/100km,2017,SUV,Diesel,I4,140kW
4.6 l/100km,2017,SUV,Diesel,I4,85kW
6.5 l/100km,2018,SUV,Diesel,I4,136kW
5.7 l/100km,2017,SUV,Diesel,I4,140kW
5.1 l/100km,2017,Combi,Diesel,I4,135kW
5.4 l/100km,2022,SUV,Diesel,I4,110kW
5.4 l/100km,2022,SUV,Diesel,I4,110kW
6.1 l/100km,2022,SUV,Benzín,I4,96kW
6.9 l/100km,2018,SUV,Diesel,I6,190kW
8.2 l/100km,2012,SUV,Diesel,I4,100kW
4.8 l/100km,2020,SUV,Diesel,I4,85kW
17.7 l/100km,2006,Sedan,Benzín,V8,412kW
4.5 l/100km,2015,Sedan,Diesel,I4,110kW
5.9 l/100km,2014,Sedan,Diesel,I6,180kW
5.5 l/100km,2012,SUV,Diesel,zaod,110kW
5 l/100km,2015,Combi,Diesel,I4,135kW
5.7 l/100km,2016,SUV,Diesel,I5,173kW
6.5 l/100km,2018,SUV,Diesel,I4,136kW
5.7 l/100km,2018,SUV,Diesel,I4,140kW
7.7 l/100km,2006,SUV,Diesel,I4,95kW
5.7 l/100km,2018,SUV,Diesel,I4,110kW
8.2 l/100km,2012,SUV,Diesel,I4,100kW
4.6 l/100km,2016,SUV,Diesel,I4,85kW
6.5 l/100km,2017,SUV,Diesel,I4,136kW
5.5 l/100km,2019,SUV,Diesel,I4,110kW
4.6 l/100km,2016,SUV,Diesel,I4,85kW
5 l/100km,2016,Combi,Diesel,I4,135kW
5.5 l/100km,2019,SUV,Diesel,I4,110kW
5.3 l/100km,2015,Combi,Diesel,I6,200kW
4.5 l/100km,2015,Sedan,Diesel,I4,110kW
7.1 l/100km,2017,Sedan,Benzín,I4,206kW
6.4 l/100km,2010,Sedan,Diesel,I4,125kW
7.7 l/100km,2006,SUV,Diesel,I4,95kW
5 l/100km,2015,Combi,Diesel,I4,135kW
5.1 l/100km,2017,Combi,Diesel,I4,135kW
5.7 l/100km,2016,SUV,Diesel,I5,173kW
5 l/100km,2019,SUV,Diesel,I4,110kW
5 l/100km,2015,Combi,Diesel,I4,135kW
5.7 l/100km,2018,SUV,Diesel,I4,110kW
5.9 l/100km,2019,SUV,Diesel,I4,136kW
5.7 l/100km,2017,SUV,Diesel,I4,140kW
4.6 l/100km,2017,SUV,Diesel,I4,85kW
6.5 l/100km,2018,SUV,Diesel,I4,136kW
5.7 l/100km,2017,SUV,Diesel,I4,140kW
5.1 l/100km,2017,Combi,Diesel,I4,135kW
5.4 l/100km,2022,SUV,Diesel,I4,110kW
5.4 l/100km,2022,SUV,Diesel,I4,110kW
6.1 l/100km,2022,SUV,Benzín,I4,96kW
6.9 l/100km,2018,SUV,Diesel,I6,190kW
8.2 l/100km,2012,SUV,Diesel,I4,100kW
4.8 l/100km,2020,SUV,Diesel,I4,85kW
17.7 l/100km,2006,Sedan,Benzín,V8,412kW
4.5 l/100km,2015,Sedan,Diesel,I4,110kW
5.9 l/100km,2014,Sedan,Diesel,I6,180kW
5.5 l/100km,2012,SUV,Diesel,zaod,110kW
5 l/100km,2015,Combi,Diesel,I4,135kW
5.7 l/100km,2016,SUV,Diesel,I5,173kW
